timestamp,machine_id,statut,temperature_C,pression_bar,vitesse_rpm,conso_energie_kWh,nb_cycles
2026-01-01 12:05:00,Four_D,ARRET,50.2,4.96,0.0,0.33,0
2026-01-01 12:10:00,Pompe_E,ARRET,44.2,3.88,0.0,0.23,0
2026-01-01 12:15:00,Pompe_E,MARCHE,48.8,4.56,1031.0,1.66,7
2026-01-01 12:20:00,Presse_B,MARCHE,65.2,4.84,1186.0,4.62,43
2026-01-01 12:25:00,Pompe_E,MARCHE,50.4,4.41,1401.0,0.37,36
2026-01-01 12:30:00,Pompe_E,MARCHE,49.8,4.3,1207.0,5.43,14
2026-01-01 12:35:00,Robot_C,MARCHE,65.2,4.38,1458.0,4.54,29
2026-01-01 12:40:00,Presse_B,ARRET,54.2,4.19,0.0,0.38,0
2026-01-01 12:45:00,Four_D,MARCHE,56.0,3.96,1028.0,2.78,42
2026-01-01 12:50:00,Robot_C,MARCHE,46.2,4.44,1312.0,3.15,2
2026-01-01 12:55:00,Robot_C,MARCHE,51.4,3.96,1078.0,2.83,20
2026-01-01 13:00:00,Convoyeur_A,MARCHE,61.3,4.06,1144.0,2.52,26
2026-01-01 13:05:00,Convoyeur_A,MARCHE,70.7,4.1,1016.0,3.55,47
2026-01-01 13:10:00,Pompe_E,MARCHE,56.4,4.22,1320.0,3.58,13
2026-01-01 13:15:00,Presse_B,ARRET,69.2,4.33,0.0,0.34,0
2026-01-01 13:20:00,Robot_C,MARCHE,48.7,4.14,1057.0,1.57,24
2026-01-01 13:25:00,Pompe_E,MARCHE,56.6,4.79,1234.0,3.59,24
2026-01-01 13:30:00,Convoyeur_A,MARCHE,48.0,3.11,1141.0,3.14,35
2026-01-01 13:35:00,Presse_B,MARCHE,72.4,4.94,1498.0,1.67,25
2026-01-01 13:40:00,Presse_B,MARCHE,45.9,3.16,1197.0,2.76,47
2026-01-01 13:45:00,Four_D,ARRET,44.9,4.29,0.0,0.39,0
2026-01-01 13:50:00,Robot_C,ARRET,50.4,4.58,0.0,0.35,0
2026-01-01 13:55:00,Convoyeur_A,MARCHE,47.2,3.33,1593.0,2.98,25
2026-01-01 14:00:00,Four_D,MARCHE,59.0,3.39,1207.0,3.81,37
2026-01-01 14:05:00,Pompe_E,MARCHE,47.8,4.1,1272.0,1.42,9
2026-01-01 14:10:00,Pompe_E,MARCHE,64.9,3.9,1314.0,4.83,10
2026-01-01 14:15:00,Robot_C,MARCHE,61.2,4.28,1213.0,4.09,28
2026-01-01 14:20:00,Robot_C,ARRET,,3.96,0.0,0.26,0
2026-01-01 14:25:00,Pompe_E,MARCHE,60.2,3.55,1159.0,4.23,41
2026-01-01 14:30:00,Convoyeur_A,MARCHE,,4.0,1238.0,4.47,32
2026-01-01 14:35:00,Convoyeur_A,MARCHE,53.1,4.61,1334.0,3.61,38
2026-01-01 14:40:00,Robot_C,MARCHE,64.7,3.76,1068.0,4.12,46
2026-01-01 14:45:00,Pompe_E,MARCHE,58.8,4.99,1346.0,4.36,32
2026-01-01 14:50:00,Four_D,MARCHE,58.8,4.37,1356.0,2.89,30
2026-01-01 14:55:00,Four_D,MARCHE,55.4,5.45,1047.0,7.07,3
2026-01-01 15:00:00,Four_D,ARRET,55.2,4.13,0.0,0.47,0
2026-01-01 15:05:00,Robot_C,MARCHE,59.1,3.31,1424.0,4.29,11
2026-01-01 15:10:00,Presse_B,MARCHE,54.6,5.42,1219.0,3.63,3
2026-01-01 15:15:00,Pompe_E,ALARME,60.8,3.8,0.0,0.35,0
2026-01-01 15:20:00,Four_D,MARCHE,50.0,3.95,1263.0,3.03,0
2026-01-01 15:25:00,Robot_C,MARCHE,50.3,4.13,1361.0,2.8,25
2026-01-01 15:30:00,Convoyeur_A,MARCHE,63.4,4.08,1190.0,4.47,26
2026-01-01 15:35:00,Presse_B,ALARME,51.5,4.24,0.0,0.28,0
2026-01-01 15:40:00,Convoyeur_A,MARCHE,57.5,4.6,1176.0,4.8,21
2026-01-01 15:45:00,Presse_B,MARCHE,40.2,3.69,1278.0,2.54,39
2026-01-01 15:50:00,Convoyeur_A,MARCHE,53.7,3.76,958.0,5.12,31
2026-01-01 15:55:00,Pompe_E,MARCHE,52.4,4.74,1141.0,1.52,46
2026-01-01 16:00:00,Presse_B,MARCHE,60.6,3.16,1014.0,2.09,0
2026-01-01 16:05:00,Pompe_E,MARCHE,56.6,3.79,1338.0,3.58,32
2026-01-01 16:10:00,Four_D,ARRET,62.6,4.07,0.0,0.4,0
2026-01-01 16:15:00,Convoyeur_A,MARCHE,60.8,3.64,1121.0,4.09,32
2026-01-01 16:20:00,Four_D,MARCHE,53.1,4.01,1307.0,4.03,42
2026-01-01 16:25:00,Four_D,ALARME,52.8,3.67,0.0,0.24,0
2026-01-01 16:30:00,Presse_B,MARCHE,52.9,4.36,1012.0,4.61,46
2026-01-01 16:35:00,Pompe_E,MARCHE,53.5,3.85,989.0,1.63,4
2026-01-01 16:40:00,Pompe_E,MARCHE,59.8,3.16,1454.0,3.75,21
2026-01-01 16:45:00,Four_D,MARCHE,54.2,4.18,1365.0,3.64,16
2026-01-01 16:50:00,Presse_B,MARCHE,56.2,4.35,943.0,1.88,21
2026-01-01 16:55:00,Robot_C,MARCHE,60.9,4.75,1373.0,3.64,41
2026-01-01 17:00:00,Four_D,MARCHE,65.5,4.13,1098.0,5.67,41
2026-01-01 17:05:00,Pompe_E,MARCHE,54.8,4.66,1063.0,4.35,6
2026-01-01 17:10:00,Presse_B,ALARME,44.3,3.28,0.0,0.17,0
2026-01-01 17:15:00,Presse_B,MARCHE,58.0,4.14,1166.0,4.95,35
2026-01-01 17:20:00,Convoyeur_A,MARCHE,59.3,4.27,1278.0,3.36,21
2026-01-01 17:25:00,Pompe_E,MARCHE,57.4,3.34,1243.0,3.16,16
2026-01-01 17:30:00,Robot_C,MARCHE,64.2,3.85,1195.0,5.62,42
2026-01-01 17:35:00,Presse_B,MARCHE,62.9,3.9,1233.0,5.84,11
2026-01-01 17:40:00,Robot_C,MARCHE,59.5,4.74,1325.0,4.05,24
2026-01-01 17:45:00,Presse_B,MARCHE,58.4,4.3,1241.0,1.97,6
2026-01-01 17:50:00,Pompe_E,MARCHE,53.5,4.12,1404.0,3.07,30
2026-01-01 17:55:00,Four_D,ARRET,62.5,3.94,0.0,0.31,0
2026-01-01 18:00:00,Robot_C,MARCHE,51.3,4.71,1192.0,0.46,22
2026-01-01 18:05:00,Four_D,MARCHE,65.4,4.29,1408.0,4.98,32
2026-01-01 18:10:00,Pompe_E,MARCHE,61.7,4.24,1360.0,2.88,43
2026-01-01 18:15:00,Convoyeur_A,MARCHE,66.3,3.86,972.0,3.18,19
2026-01-01 18:20:00,Pompe_E,MARCHE,49.7,4.2,1180.0,4.44,17
2026-01-01 18:25:00,Pompe_E,MARCHE,51.4,3.23,1019.0,2.22,36
2026-01-01 18:30:00,Pompe_E,MARCHE,60.5,4.34,1208.0,3.79,12
2026-01-01 18:35:00,Presse_B,MARCHE,62.4,4.28,1274.0,3.85,9
2026-01-01 18:40:00,Robot_C,MARCHE,74.6,3.89,1117.0,2.74,4
2026-01-01 18:45:00,Convoyeur_A,MARCHE,64.5,4.52,1568.0,3.63,17
2026-01-01 18:50:00,Convoyeur_A,MARCHE,,3.92,1295.0,3.74,8
2026-01-01 18:55:00,Four_D,MARCHE,42.9,3.89,1142.0,3.84,39
2026-01-01 19:00:00,Convoyeur_A,MARCHE,57.7,4.11,1080.0,1.84,4
2026-01-01 19:05:00,Presse_B,MARCHE,49.2,4.65,1205.0,5.74,39
2026-01-01 19:10:00,Robot_C,ARRET,61.6,4.28,0.0,0.47,0
2026-01-01 19:15:00,Four_D,ARRET,58.2,4.56,0.0,0.35,0
2026-01-01 19:20:00,Presse_B,MARCHE,61.9,3.74,1289.0,4.75,41
2026-01-01 19:25:00,Presse_B,ARRET,54.2,4.31,0.0,0.28,0
2026-01-01 19:30:00,Presse_B,ARRET,55.2,4.84,0.0,0.32,0
2026-01-01 19:35:00,Convoyeur_A,MARCHE,55.4,4.09,1228.0,4.92,27
2026-01-01 19:40:00,Four_D,MARCHE,53.1,4.59,1302.0,4.12,3
2026-01-01 19:45:00,Robot_C,MARCHE,50.0,4.58,1347.0,2.67,17
2026-01-01 19:50:00,Presse_B,MAINTENANCE,54.7,3.91,0.0,5.79,0
2026-01-01 19:55:00,Robot_C,MARCHE,67.5,4.17,1117.0,5.76,45
2026-01-01 20:00:00,Presse_B,MAINTENANCE,43.4,3.1,0.0,4.03,0
2026-01-01 20:05:00,Pompe_E,MARCHE,51.0,4.43,1287.0,2.92,2
2026-01-01 20:10:00,Convoyeur_A,MAINTENANCE,52.2,3.28,0.0,2.82,0
2026-01-01 20:15:00,Presse_B,ALARME,49.3,3.87,0.0,0.31,0
2026-01-01 20:20:00,Four_D,MARCHE,,5.46,952.0,3.0,28
2026-01-01 20:25:00,Pompe_E,MARCHE,51.1,5.01,828.0,4.12,2
2026-01-01 20:30:00,Four_D,ARRET,52.9,3.68,0.0,0.3,0
2026-01-01 20:35:00,Convoyeur_A,MARCHE,57.9,3.41,1114.0,2.94,21
2026-01-01 20:40:00,Pompe_E,MARCHE,49.9,4.7,1158.0,3.47,17
2026-01-01 20:45:00,Presse_B,MARCHE,42.3,4.58,1318.0,4.01,37
2026-01-01 20:50:00,Convoyeur_A,MARCHE,47.3,4.18,1199.0,2.11,21
2026-01-01 20:55:00,Four_D,MARCHE,53.2,4.21,1231.0,1.05,32
2026-01-01 21:00:00,Convoyeur_A,MARCHE,47.0,4.06,1470.0,4.27,49
2026-01-01 21:05:00,Presse_B,MARCHE,57.8,4.27,1455.0,5.16,30
2026-01-01 21:10:00,Convoyeur_A,MARCHE,58.1,4.54,1113.0,4.81,6
2026-01-01 21:15:00,Robot_C,ALARME,65.5,4.3,0.0,0.51,0
2026-01-01 21:20:00,Convoyeur_A,MARCHE,49.5,5.04,1131.0,5.58,24
2026-01-01 21:25:00,Pompe_E,MARCHE,63.6,4.02,896.0,4.19,31
2026-01-01 21:30:00,Robot_C,MARCHE,58.0,4.45,900.0,2.49,34
2026-01-01 21:35:00,Pompe_E,MARCHE,54.9,4.75,1183.0,4.62,19
2026-01-01 21:40:00,Pompe_E,MARCHE,62.0,3.42,1500.0,3.37,1
2026-01-01 21:45:00,Presse_B,ARRET,69.2,3.76,0.0,0.16,0
2026-01-01 21:50:00,Robot_C,MARCHE,66.0,4.59,1260.0,2.68,47
2026-01-01 21:55:00,Presse_B,MARCHE,54.8,4.79,1282.0,3.06,46
2026-01-01 22:00:00,Convoyeur_A,MARCHE,57.1,3.84,1069.0,1.55,34
2026-01-01 22:05:00,Pompe_E,MARCHE,68.7,4.97,989.0,2.84,30
2026-01-01 22:10:00,Robot_C,ALARME,39.7,3.87,0.0,0.5,0
2026-01-01 22:15:00,Convoyeur_A,MARCHE,50.3,4.52,991.0,2.49,19
2026-01-01 22:20:00,Four_D,MARCHE,59.2,4.62,1383.0,4.96,43
2026-01-01 22:25:00,Four_D,ARRET,54.3,4.99,0.0,0.53,0
2026-01-01 22:30:00,Four_D,MARCHE,55.4,3.86,1180.0,2.26,4
2026-01-01 22:35:00,Convoyeur_A,MARCHE,62.3,4.37,1350.0,0.02,49
